"طابع زمني","Do you agree to participate in this anonymous research survey?","What is your age group?","What is your primary field of study or work?","How would you describe your technical / computer skill level?","Have you ever received a suspicious email, message, or link that you believed was phishing?","How confident are you in your ability to recognize phishing links or websites?","Which types of security or phishing warnings have you seen before? (Select all that apply)","How intrusive or annoying do you find typical pop-up or full-page security warnings while browsing?","Which option do you prefer for a phishing detection tool?","How concerned are you about security tools sending your visited links to external servers for analysis?","How important is it for phishing warnings to appear almost instantly (without visible delay) while browsing?","How useful do you think such an inline underline under suspicious links would be?","Compared to pop-up or full-page warnings, how intrusive would inline underlining feel to you?","If a link you are about to click is underlined in red with a “suspicious link” tooltip, how likely are you to double-check it before clicking?","How much would you trust this kind of inline warning system if it came from your browser or university?","If you had to choose only ONE type of phishing warning, which would you prefer?"
"2025/12/11 6:04:37 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:05:04 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:05:32 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:05:59 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:06:26 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:06:54 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:07:21 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:07:49 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:08:16 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:08:44 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:09:12 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:09:42 م غرينتش+3","Yes, I agree to participate","18–24","Computer Science / IT / Cybersecurity","Intermediate","Yes, many times","3","Browser full-page warning (e.g., “Deceptive site ahead”);Company / university security training warnings","4","A tool that analyzes links locally on my device","4","5","5","1","5","4","Inline underline beneath suspicious links"
"2025/12/11 6:27:56 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:28:37 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:29:07 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:29:38 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:30:09 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:30:39 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 6:31:10 م غرينتش+3","Yes, I agree to participate","25–34","Engineering (non-IT)","Beginner","Yes, once or a few times","1","Email warning labels (e.g., “Suspicious message”);Antivirus / security software pop-up warning","3","No preference / I do not know","3","3","4","3","4","3","Inline underline beneath suspicious links"
"2025/12/11 7:19:47 م غرينتش+3","Yes, I agree to participate","35–44","Sciences / Mathematics","Beginner","Not sure","1","I do not remember seeing any warnings","1","No preference / I do not know","1","1","1","1","1","1","Icon-only indicator in the address bar"
